group_id;group_label
28;Eastern Finland | Etelä-Savo | Etelä-Savo | Private | Spot Price | High
29;Eastern Finland | Etelä-Savo | Etelä-Savo | Private | Spot Price | Low
30;Eastern Finland | Etelä-Savo | Etelä-Savo | Private | Spot Price | Medium
36;Eastern Finland | Pohjois-Karjala | Joensuu | Enterprise | Variable Price | Low
37;Eastern Finland | Pohjois-Karjala | Joensuu | Private | Fixed Price | Low
38;Eastern Finland | Pohjois-Karjala | Joensuu | Private | Fixed Price | Medium
39;Eastern Finland | Pohjois-Karjala | Joensuu | Private | Flat/Hybrid | Low
40;Eastern Finland | Pohjois-Karjala | Joensuu | Private | Spot Price | Low
41;Eastern Finland | Pohjois-Karjala | Joensuu | Private | Spot Price | Medium
42;Eastern Finland | Pohjois-Karjala | Joensuu | Private | Variable Price | Low
43;Eastern Finland | Pohjois-Karjala | Joensuu | Private | Variable Price | Medium
73;Eastern Finland | Pohjois-Karjala | Pohjois-Karjala | Private | Flat/Hybrid | Medium
74;Eastern Finland | Pohjois-Karjala | Pohjois-Karjala | Private | Spot Price | High
76;Eastern Finland | Pohjois-Karjala | Pohjois-Karjala_Others | Private | Spot Price | Medium
116;Eastern Finland | Pohjois-Savo | Pohjois-Savo_Others | Private | Spot Price | Medium
149;Lapland | Lappi | Lappi | Private | Flat/Hybrid | Medium
150;Lapland | Lappi | Lappi | Private | Spot Price | High
151;Lapland | Lappi | Lappi_Others | Private | Spot Price | Low
152;Lapland | Lappi | Lappi | Private | Spot Price | Medium
157;Lapland | Lappi | Rovaniemi | Private | Spot Price | Low
196;Northern Finland | Pohjois-Pohjanmaa | Oulu | Private | Flat/Hybrid | Low
197;Northern Finland | Pohjois-Pohjanmaa | Oulu | Private | Flat/Hybrid | Medium
198;Northern Finland | Pohjois-Pohjanmaa | Oulu | Private | Spot Price | High
199;Northern Finland | Pohjois-Pohjanmaa | Oulu | Private | Spot Price | Low
200;Northern Finland | Pohjois-Pohjanmaa | Oulu | Private | Spot Price | Medium
201;Northern Finland | Pohjois-Pohjanmaa | Oulu | Private | Variable Price | Low
213;Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa | Enterprise | Fixed Price | Low
222;Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Enterprise | Spot Price | Low
225;Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Enterprise | Variable Price | Low
231;Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Private | Flat/Hybrid | Low
233;Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Private | Spot Price | High
234;Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Private | Spot Price | Low
235;Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Private | Spot Price | Medium
237;Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Private | Variable Price | Low
238;Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Private | Variable Price | Medium
270;Southern Finland | Etelä-Karjala | Lappeenranta | Private | Spot Price | Low
271;Southern Finland | Etelä-Karjala | Lappeenranta | Private | Spot Price | Medium
295;Southern Finland | Kanta-Häme | Kanta-Häme | Enterprise | Variable Price | Low
298;Southern Finland | Kanta-Häme | Kanta-Häme | Private | Fixed Price | Low
301;Southern Finland | Kanta-Häme | Kanta-Häme | Private | Flat/Hybrid | Low
302;Southern Finland | Kanta-Häme | Kanta-Häme | Private | Flat/Hybrid | Medium
303;Southern Finland | Kanta-Häme | Kanta-Häme | Private | Spot Price | High
304;Southern Finland | Kanta-Häme | Kanta-Häme_Others | Private | Spot Price | Low
305;Southern Finland | Kanta-Häme | Kanta-Häme | Private | Spot Price | Medium
307;Southern Finland | Kanta-Häme | Kanta-Häme | Private | Variable Price | Low
308;Southern Finland | Kanta-Häme | Kanta-Häme | Private | Variable Price | Medium
346;Southern Finland | Päijät-Häme | Lahti | Private | Flat/Hybrid | Low
347;Southern Finland | Päijät-Häme | Lahti | Private | Spot Price | Low
348;Southern Finland | Päijät-Häme | Lahti | Private | Spot Price | Medium
378;Southern Finland | Päijät-Häme | Päijät-Häme | Private | Spot Price | High
380;Southern Finland | Päijät-Häme | Päijät-Häme_Others | Private | Spot Price | Medium
385;Southern Finland | Uusimaa | Espoo | Enterprise | Fixed Price | Low
387;Southern Finland | Uusimaa | Espoo | Enterprise | Portfolio | Low
390;Southern Finland | Uusimaa | Espoo | Enterprise | Spot Price | Low
391;Southern Finland | Uusimaa | Espoo | Enterprise | Spot Price | Medium
393;Southern Finland | Uusimaa | Espoo | Enterprise | Variable Price | Low
394;Southern Finland | Uusimaa | Espoo | Enterprise | Variable Price | Medium
395;Southern Finland | Uusimaa | Espoo | Private | Fixed Price | High
396;Southern Finland | Uusimaa | Espoo | Private | Fixed Price | Low
397;Southern Finland | Uusimaa | Espoo | Private | Fixed Price | Medium
398;Southern Finland | Uusimaa | Espoo | Private | Flat/Hybrid | Low
399;Southern Finland | Uusimaa | Espoo | Private | Flat/Hybrid | Medium
400;Southern Finland | Uusimaa | Espoo | Private | Spot Price | High
401;Southern Finland | Uusimaa | Espoo | Private | Spot Price | Low
402;Southern Finland | Uusimaa | Espoo | Private | Spot Price | Medium
403;Southern Finland | Uusimaa | Espoo | Private | Variable Price | High
404;Southern Finland | Uusimaa | Espoo | Private | Variable Price | Low
405;Southern Finland | Uusimaa | Espoo | Private | Variable Price | Medium
447;Southern Finland | Uusimaa | Uusimaa_Others | Private | Flat/Hybrid | Low
450;Southern Finland | Uusimaa | Uusimaa_Others | Private | Spot Price | Low
459;Southern Finland | Uusimaa | Vantaa | Private | Fixed Price | Low
460;Southern Finland | Uusimaa | Vantaa | Private | Fixed Price | Medium
466;Southern Finland | Uusimaa | Vantaa | Private | Variable Price | Medium
468;Southwestern Finland | Satakunta | Pori | Private | Spot Price | Low
469;Southwestern Finland | Satakunta | Pori | Private | Spot Price | Medium
538;Southwestern Finland | Varsinais-Suomi | Varsinais-Suomi_Others | Enterprise | Variable Price | Low
541;Southwestern Finland | Varsinais-Suomi | Varsinais-Suomi_Others | Private | Fixed Price | Low
542;Southwestern Finland | Varsinais-Suomi | Varsinais-Suomi_Others | Private | Fixed Price | Medium
561;Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Enterprise | Fixed Price | Low
570;Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Enterprise | Spot Price | Low
573;Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Enterprise | Variable Price | Low
577;Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Private | Fixed Price | Medium
580;Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Private | Flat/Hybrid | Medium
581;Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Private | Spot Price | High
582;Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Private | Spot Price | Low
583;Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Private | Spot Price | Medium
585;Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Private | Variable Price | Low
586;Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Private | Variable Price | Medium
622;Western and Inland Finland | Keski-Suomi | Jyväskylä | Private | Flat/Hybrid | Low
623;Western and Inland Finland | Keski-Suomi | Jyväskylä | Private | Flat/Hybrid | Medium
624;Western and Inland Finland | Keski-Suomi | Jyväskylä | Private | Spot Price | Low
625;Western and Inland Finland | Keski-Suomi | Jyväskylä | Private | Spot Price | Medium
626;Western and Inland Finland | Keski-Suomi | Jyväskylä | Private | Variable Price | Low
657;Western and Inland Finland | Keski-Suomi | Keski-Suomi | Private | Spot Price | High
658;Western and Inland Finland | Keski-Suomi | Keski-Suomi_Others | Private | Spot Price | Low
659;Western and Inland Finland | Keski-Suomi | Keski-Suomi_Others | Private | Spot Price | Medium
682;Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Enterprise | Spot Price | Low
691;Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Flat/Hybrid | Low
692;Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Flat/Hybrid | Medium
693;Western and Inland Finland | Pirkanmaa | Pirkanmaa | Private | Spot Price | High
694;Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Spot Price | Low
695;Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Spot Price | Medium
697;Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Variable Price | Low
698;Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Variable Price | Medium
705;Western and Inland Finland | Pirkanmaa | Tampere | Private | Flat/Hybrid | Low
706;Western and Inland Finland | Pirkanmaa | Tampere | Private | Flat/Hybrid | Medium
707;Western and Inland Finland | Pirkanmaa | Tampere | Private | Spot Price | Low
708;Western and Inland Finland | Pirkanmaa | Tampere | Private | Spot Price | Medium
709;Western and Inland Finland | Pirkanmaa | Tampere | Private | Variable Price | Low
738;Western and Inland Finland | Pohjanmaa | Pohjanmaa | Private | Spot Price | Medium
740;Western and Inland Finland | Pohjanmaa | Pohjanmaa | Private | Variable Price | Low
741;Western and Inland Finland | Pohjanmaa | Pohjanmaa | Private | Variable Price | Medium